objectid,mun_italian,mun_german,plz,loc_german,loc_italian,unkat_de,ctolomei2
192,S.Lorenzo di Sebato,St.Lorenzen,39030,Maria Saalen,Sares,"409 - Weiler, Häusergruppe",3
1119,Tesimo,Tisens,39010,Gfrill,Cauria,408 - Ort < 1.000 Einwohner,2
2044,Monguelfo-Tesido,Welsberg-Taisten,39035,Welsberg,Monguelfo,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,6
2591,Brunico,Bruneck,39031,Sankt Georgen,San Giorgio,408 - Ort < 1.000 Einwohner,4
2664,Valdaora,Olang,39030,Oberolang,Valdaora di Sopra,407 - Ort > 1.000 Einwohner,3
2935,Plaus,Plaus,39025,Plaus,Plaus,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,0
3400,S.Martino in Passiria,St.Martin in Passeier,39010,Saltaus,Saltusio,408 - Ort < 1.000 Einwohner,3
3406,Salorno,Salurn,39040,Gfrill,Cauria,"409 - Weiler, Häusergruppe",2
4354,Ultimo,Ulten,39016,Sankt Walburg,Santa Valburga,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,4
4864,Campo di Trens,Freienfeld,39040,Elzenbaum,Pruno,408 - Ort < 1.000 Einwohner,4
6035,Rio di Pusteria,Mühlbach,39037,Vals,Valles,408 - Ort < 1.000 Einwohner,3
6499,Meltina,Mölten,39010,Schlaneid,Salonetto,408 - Ort < 1.000 Einwohner,5
7573,Moso in Passiria,Moos in Passeier,39013,Rabenstein,Corvara,408 - Ort < 1.000 Einwohner,4
7891,Egna,Neumarkt,39044,Mazon,Mazzon,"409 - Weiler, Häusergruppe",5
7971,Marlengo,Marling,39020,Marling,Marlengo,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
8118,Fie' allo Sciliar,Völs am Schlern,39050,Prösels,Presule,"409 - Weiler, Häusergruppe",5
8149,Naz-Sciaves,Natz-Schabs,39040,Natz,Naz,408 - Ort < 1.000 Einwohner,1
8338,Ultimo,Ulten,39016,St. Moritz,S. Maurizio,412 - Historisches Bauwerk,4
9088,Lana,Lana,39011,Lana,Lana,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,0
9866,Brunico,Bruneck,39031,Bruneck,Brunìco,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,2
9967,Castelrotto,Kastelruth,39040,Seis,Siusi,407 - Ort > 1.000 Einwohner,3
10213,Appiano,Eppan,39057,Missian,Missan,408 - Ort < 1.000 Einwohner,3
10966,Malles Venosta,Mals,39024,Tartsch,Tarces,408 - Ort < 1.000 Einwohner,5
11689,Nova Ponente,Deutschnofen,39050,Petersberg,Monte S. Pietro,408 - Ort < 1.000 Einwohner,4
11850,Egna,Neumarkt,39044,Laag,Laghetto,408 - Ort < 1.000 Einwohner,2
11868,Merano,Meran,39012,Untermais,Maia Bassa,406 - Ort > 5.000 Einwohner,2
12173,Malles Venosta,Mals,39024,Mals,Malles,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
12179,Barbiano,Barbian,39040,Barbian,Barbiano,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
12580,Lagundo,Algund,39022,Algund,Lagundo,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
12794,Racines,Ratschings,39040,Ridnaun,Ridanna,408 - Ort < 1.000 Einwohner,3
13592,Tesimo,Tisens,39010,Tisens,Tesimo,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
14225,Renon,Ritten,39054,Gissmann,Madonnina,"409 - Weiler, Häusergruppe",6
14441,Campo Tures,Sand in Taufers,39032,Sand in Taufers,Campo Tures,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,4
14732,Badia,Abtei,39036,Abtei,Badia,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,1
14770,Ora,Auer,39040,Auer,Ora,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
16985,Lana,Lana,39011,Völlan,Foiana,407 - Ort > 1.000 Einwohner,3
17664,Sluderno,Schluderns,39020,Schluderns,Sluderno,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,5
17878,Fie' allo Sciliar,Völs am Schlern,39050,Breien,Briè,"409 - Weiler, Häusergruppe",5
18004,Appiano,Eppan,39057,Sankt Michael,San Michele,407 - Ort > 1.000 Einwohner,4
18314,Badia,Abtei,39036,Stern,La Villa,408 - Ort < 1.000 Einwohner,1
18843,Perca,Percha,39030,Wielenberg,Montevila,"409 - Weiler, Häusergruppe",4
19187,Castelbello-Ciardes,Kastelbell-Tschars,39020,Tschars,Ciardes,408 - Ort < 1.000 Einwohner,5
19460,Bressanone,Brixen,39042,Sankt Andrä,Sant’Andrea,408 - Ort < 1.000 Einwohner,4
20296,Luson,Lüsen,39040,Rungg,Ronco,"409 - Weiler, Häusergruppe",3
20742,Rasun Anterselva,Rasen-Antholz,39030,Niederrasen,Rasun di Sotto,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,4
21414,Nova Levante,Welschnofen,39056,Welschnofen,Nova,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,6
21450,Anterivo,Altrei,39040,Altrei,Anterivo,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,2
22003,Scena,Schenna,39017,Videgg,Viadacqua,"409 - Weiler, Häusergruppe",5
22557,Malles Venosta,Mals,39024,Plawenn,Piavenna,408 - Ort < 1.000 Einwohner,3
22584,Caldaro,Kaltern,39052,Unterplanitzing,Planezza di Sotto,"409 - Weiler, Häusergruppe",3
22820,Renon,Ritten,39054,Oberinn,Auna di Sopra,408 - Ort < 1.000 Einwohner,3
23452,Fie' allo Sciliar,Völs am Schlern,39050,Ums,Umes,"409 - Weiler, Häusergruppe",3
23668,Gais,Gais,39030,Tesselberg,Montassilone,408 - Ort < 1.000 Einwohner,4
23898,Chienes,Kiens,39030,Ehrenburg,Casteldarne,408 - Ort < 1.000 Einwohner,4
23977,Campo Tures,Sand in Taufers,39032,Rein,Riva di Tures,408 - Ort < 1.000 Einwohner,3
24001,Ultimo,Ulten,39016,Sankt Nikolaus,San Nicolò,408 - Ort < 1.000 Einwohner,4
24006,Laces,Latsch,39021,Latsch,Laces,402 - Hauptort und/oder Gemeinde > 5.000 Einwohner,5
24233,Nova Ponente,Deutschnofen,39050,Rauth,Novale,"409 - Weiler, Häusergruppe",4
24723,Senales,Schnals,39020,Unser Frau,Madonna,408 - Ort < 1.000 Einwohner,4
25244,Lasa,Laas,39023,Tarnell,Tarnello,"409 - Weiler, Häusergruppe",3
25284,Valdaora,Olang,39030,Niederolang,Valdaora di Sotto,408 - Ort < 1.000 Einwohner,3
25870,S.Martino in Badia,St.Martin in Thurn,39030,Campill,Lungiarù,408 - Ort < 1.000 Einwohner,1
27077,Montagna,Montan,39040,Montan,Montagna,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
27444,Laion,Lajen,39040,Sankt Peter,San Pietro,408 - Ort < 1.000 Einwohner,4
27603,Bressanone,Brixen,39042,Pinzagen,Pinzago,"409 - Weiler, Häusergruppe",3
27732,Proves,Proveis,39040,Proveis,Proves,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,2
28118,Lasa,Laas,39023,Tanas,Tanas,408 - Ort < 1.000 Einwohner,0
28429,Appiano,Eppan,39057,Girlan,Ghirla,407 - Ort > 1.000 Einwohner,3
28458,Malles Venosta,Mals,39024,Laatsch,Laudes,408 - Ort < 1.000 Einwohner,5
29146,Valdaora,Olang,39030,Geiselsberg,Sorafurcia,"409 - Weiler, Häusergruppe",3
29455,Trodena,Truden,39040,Truden,Trodena,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
29692,Lasa,Laas,39023,Eyrs,Oris,408 - Ort < 1.000 Einwohner,1
30731,Caines,Kuens,39010,Kuens,Caines,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,5
30953,Barbiano,Barbian,39040,Kollmann,Colma,408 - Ort < 1.000 Einwohner,5
31129,Magre',Margreid,39040,Margreid,Magré,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
31629,Predoi,Prettau,39030,Prettau,Predoi,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,5
31982,Termeno,Tramin,39040,Tramin,Termeno,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
32195,Chienes,Kiens,39030,Hofern,Corti,408 - Ort < 1.000 Einwohner,4
33299,Falzes,Pfalzen,39030,Pfalzen,Falzes,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,5
33991,Lauregno,Laurein,39040,Laurein,Lauregno,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,2
34333,Postal,Burgstall,39014,Burgstall,Póstal,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
34543,Verano,Vöran,39010,Vöran,Verano,404 - Hauptort und/oder Gemeinde < 1.000 Einwohner,3
34877,Fortezza,Franzensfeste,39045,Franzensfeste,Fortezza,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,2
34955,Bolzano,Bozen,39100,Rentsch,Rencio,"409 - Weiler, Häusergruppe",3
35314,Rodengo,Rodeneck,39037,Rodeneck,Rodengo,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,5
35980,Senale-S.Felice,U.L.Frau i.W.-St.Felix,39010,Unsere liebe Frau im Walde - Sankt Felix,Senale - San Felice,408 - Ort < 1.000 Einwohner,2
36585,Renon,Ritten,39054,Lengmoos,Longomoso,408 - Ort < 1.000 Einwohner,5
36691,Merano,Meran,39012,Meran,Merano,401 - Hauptort und/oder Gemeinde > 30.000 Einwohner,2
36761,Andriano,Andrian,39010,Andrian,Andriano,403 - Hauptort und/oder Gemeinde > 1.000 Einwohner,3
36920,Malles Venosta,Mals,39024,Planeil,Planol,408 - Ort < 1.000 Einwohner,3
37399,Rifiano,Riffian,39010,Vernuer,Vernurio,"409 - Weiler, Häusergruppe",3
